Region,Country,State,City,Month,Day,Year,AvgTemperature,Date
Africa,Algeria,,Algiers,3,25,1995,56.4,1995-03-25
Africa,Algeria,,Algiers,3,26,1995,54.7,1995-03-26
Africa,Algeria,,Algiers,3,27,1995,54.5,1995-03-27
Africa,Algeria,,Algiers,3,28,1995,53.4,1995-03-28
Africa,Algeria,,Algiers,3,29,1995,56.6,1995-03-29
Africa,Algeria,,Algiers,3,30,1995,53.2,1995-03-30
Africa,Algeria,,Algiers,3,31,1995,46.6,1995-03-31
Africa,Algeria,,Algiers,4,1,1995,47.4,1995-04-01
Africa,Algeria,,Algiers,4,2,1995,52.0,1995-04-02
Africa,Algeria,,Algiers,4,3,1995,62.2,1995-04-03
Africa,Algeria,,Algiers,4,4,1995,64.2,1995-04-04
Africa,Algeria,,Algiers,4,5,1995,59.5,1995-04-05
Africa,Algeria,,Algiers,4,6,1995,59.0,1995-04-06
Africa,Algeria,,Algiers,4,7,1995,54.9,1995-04-07
Africa,Algeria,,Algiers,4,8,1995,54.2,1995-04-08
Africa,Algeria,,Algiers,4,9,1995,57.8,1995-04-09
Africa,Algeria,,Algiers,4,10,1995,60.0,1995-04-10
Africa,Algeria,,Algiers,4,11,1995,61.1,1995-04-11
Africa,Algeria,,Algiers,4,12,1995,56.2,1995-04-12
Africa,Algeria,,Algiers,4,13,1995,56.1,1995-04-13
Africa,Algeria,,Algiers,4,14,1995,54.6,1995-04-14
Africa,Algeria,,Algiers,4,15,1995,54.5,1995-04-15
Africa,Algeria,,Algiers,4,16,1995,52.0,1995-04-16
Africa,Algeria,,Algiers,4,17,1995,56.6,1995-04-17
Africa,Algeria,,Algiers,4,18,1995,60.4,1995-04-18
Africa,Algeria,,Algiers,4,19,1995,62.7,1995-04-19
Africa,Algeria,,Algiers,4,20,1995,61.0,1995-04-20
Africa,Algeria,,Algiers,4,21,1995,56.5,1995-04-21
Africa,Algeria,,Algiers,4,22,1995,56.0,1995-04-22
Africa,Algeria,,Algiers,4,23,1995,53.1,1995-04-23
Africa,Algeria,,Algiers,4,24,1995,51.1,1995-04-24
Africa,Algeria,,Algiers,4,25,1995,57.2,1995-04-25
Africa,Algeria,,Algiers,4,26,1995,56.3,1995-04-26
Africa,Algeria,,Algiers,4,27,1995,56.5,1995-04-27
Africa,Algeria,,Algiers,4,28,1995,60.8,1995-04-28
Africa,Algeria,,Algiers,4,29,1995,60.4,1995-04-29
Africa,Algeria,,Algiers,4,30,1995,61.5,1995-04-30
Africa,Algeria,,Algiers,5,1,1995,60.4,1995-05-01
Africa,Algeria,,Algiers,5,2,1995,59.7,1995-05-02
Africa,Algeria,,Algiers,5,3,1995,61.5,1995-05-03
Africa,Algeria,,Algiers,5,4,1995,63.9,1995-05-04
Africa,Algeria,,Algiers,5,5,1995,63.7,1995-05-05
Africa,Algeria,,Algiers,5,6,1995,66.7,1995-05-06
Africa,Algeria,,Algiers,5,7,1995,75.1,1995-05-07
Africa,Algeria,,Algiers,5,8,1995,77.2,1995-05-08
Africa,Algeria,,Algiers,5,9,1995,74.6,1995-05-09
Africa,Algeria,,Algiers,5,10,1995,69.4,1995-05-10
Africa,Algeria,,Algiers,5,11,1995,67.4,1995-05-11
Africa,Algeria,,Algiers,5,12,1995,68.2,1995-05-12
Africa,Algeria,,Algiers,5,13,1995,63.3,1995-05-13
Africa,Algeria,,Algiers,5,14,1995,60.4,1995-05-14
Africa,Algeria,,Algiers,5,15,1995,65.6,1995-05-15
Africa,Algeria,,Algiers,5,16,1995,68.9,1995-05-16
Africa,Algeria,,Algiers,5,17,1995,68.4,1995-05-17
Africa,Algeria,,Algiers,5,18,1995,70.1,1995-05-18
Africa,Algeria,,Algiers,5,19,1995,70.3,1995-05-19
Africa,Algeria,,Algiers,5,20,1995,68.0,1995-05-20
Africa,Algeria,,Algiers,5,21,1995,62.6,1995-05-21
Africa,Algeria,,Algiers,5,22,1995,64.3,1995-05-22
Africa,Algeria,,Algiers,5,23,1995,72.0,1995-05-23
Africa,Algeria,,Algiers,5,24,1995,73.9,1995-05-24
Africa,Algeria,,Algiers,5,25,1995,68.2,1995-05-25
Africa,Algeria,,Algiers,5,26,1995,67.7,1995-05-26
Africa,Algeria,,Algiers,5,27,1995,67.2,1995-05-27
Africa,Algeria,,Algiers,5,28,1995,67.7,1995-05-28
Africa,Algeria,,Algiers,5,29,1995,68.3,1995-05-29
Africa,Algeria,,Algiers,5,30,1995,68.2,1995-05-30
Africa,Algeria,,Algiers,5,31,1995,66.8,1995-05-31
Africa,Algeria,,Algiers,6,1,1995,64.6,1995-06-01
Africa,Algeria,,Algiers,6,2,1995,66.7,1995-06-02
Africa,Algeria,,Algiers,6,3,1995,67.7,1995-06-03
Africa,Algeria,,Algiers,6,4,1995,68.6,1995-06-04
Africa,Algeria,,Algiers,6,5,1995,69.3,1995-06-05
Africa,Algeria,,Algiers,6,6,1995,70.4,1995-06-06
Africa,Algeria,,Algiers,6,7,1995,72.6,1995-06-07
Africa,Algeria,,Algiers,6,8,1995,70.6,1995-06-08
Africa,Algeria,,Algiers,6,9,1995,70.5,1995-06-09
Africa,Algeria,,Algiers,6,10,1995,69.1,1995-06-10
Africa,Algeria,,Algiers,6,11,1995,68.6,1995-06-11
Africa,Algeria,,Algiers,6,12,1995,70.3,1995-06-12
Africa,Algeria,,Algiers,6,13,1995,69.2,1995-06-13
Africa,Algeria,,Algiers,6,14,1995,69.2,1995-06-14
Africa,Algeria,,Algiers,6,15,1995,71.5,1995-06-15
Africa,Algeria,,Algiers,6,16,1995,71.4,1995-06-16
Africa,Algeria,,Algiers,6,17,1995,71.9,1995-06-17
Africa,Algeria,,Algiers,6,18,1995,70.0,1995-06-18
Africa,Algeria,,Algiers,6,19,1995,76.5,1995-06-19
Africa,Algeria,,Algiers,6,20,1995,73.4,1995-06-20
Africa,Algeria,,Algiers,6,21,1995,75.9,1995-06-21
Africa,Algeria,,Algiers,6,22,1995,74.5,1995-06-22
Africa,Algeria,,Algiers,6,23,1995,73.8,1995-06-23
Africa,Algeria,,Algiers,6,24,1995,72.8,1995-06-24
Africa,Algeria,,Algiers,6,25,1995,74.6,1995-06-25
Africa,Algeria,,Algiers,6,26,1995,75.8,1995-06-26
Africa,Algeria,,Algiers,6,27,1995,75.8,1995-06-27
Africa,Algeria,,Algiers,6,28,1995,75.1,1995-06-28
Africa,Algeria,,Algiers,6,29,1995,73.6,1995-06-29
Africa,Algeria,,Algiers,6,30,1995,77.7,1995-06-30
Africa,Algeria,,Algiers,7,1,1995,78.6,1995-07-01
Africa,Algeria,,Algiers,7,2,1995,77.4,1995-07-02
Africa,Algeria,,Algiers,7,3,1995,76.2,1995-07-03
Africa,Algeria,,Algiers,7,4,1995,73.0,1995-07-04
Africa,Algeria,,Algiers,7,5,1995,73.9,1995-07-05
Africa,Algeria,,Algiers,7,6,1995,72.9,1995-07-06
Africa,Algeria,,Algiers,7,7,1995,74.1,1995-07-07
Africa,Algeria,,Algiers,7,8,1995,76.6,1995-07-08
Africa,Algeria,,Algiers,7,9,1995,75.9,1995-07-09
Africa,Algeria,,Algiers,7,10,1995,76.7,1995-07-10
Africa,Algeria,,Algiers,7,11,1995,76.1,1995-07-11
Africa,Algeria,,Algiers,7,12,1995,75.5,1995-07-12
Africa,Algeria,,Algiers,7,13,1995,74.6,1995-07-13
Africa,Algeria,,Algiers,7,14,1995,76.7,1995-07-14
Africa,Algeria,,Algiers,7,15,1995,76.5,1995-07-15
Africa,Algeria,,Algiers,7,16,1995,76.4,1995-07-16
Africa,Algeria,,Algiers,7,17,1995,76.6,1995-07-17
Africa,Algeria,,Algiers,7,18,1995,77.7,1995-07-18
Africa,Algeria,,Algiers,7,19,1995,78.3,1995-07-19
Africa,Algeria,,Algiers,7,20,1995,76.9,1995-07-20
Africa,Algeria,,Algiers,7,21,1995,83.4,1995-07-21
Africa,Algeria,,Algiers,7,22,1995,81.6,1995-07-22
Africa,Algeria,,Algiers,7,23,1995,77.2,1995-07-23
Africa,Algeria,,Algiers,7,24,1995,80.4,1995-07-24
Africa,Algeria,,Algiers,7,25,1995,79.3,1995-07-25
Africa,Algeria,,Algiers,7,26,1995,81.1,1995-07-26
Africa,Algeria,,Algiers,7,27,1995,80.7,1995-07-27
Africa,Algeria,,Algiers,7,28,1995,80.3,1995-07-28
Africa,Algeria,,Algiers,7,29,1995,79.4,1995-07-29
Africa,Algeria,,Algiers,7,30,1995,78.8,1995-07-30
Africa,Algeria,,Algiers,7,31,1995,79.7,1995-07-31
Africa,Algeria,,Algiers,8,1,1995,80.1,1995-08-01
Africa,Algeria,,Algiers,8,2,1995,79.9,1995-08-02
Africa,Algeria,,Algiers,8,3,1995,77.6,1995-08-03
Africa,Algeria,,Algiers,8,4,1995,78.6,1995-08-04
Africa,Algeria,,Algiers,8,5,1995,78.5,1995-08-05
Africa,Algeria,,Algiers,8,6,1995,78.3,1995-08-06
Africa,Algeria,,Algiers,8,7,1995,78.4,1995-08-07
Africa,Algeria,,Algiers,8,8,1995,78.9,1995-08-08
Africa,Algeria,,Algiers,8,9,1995,-99.0,1995-08-09
Africa,Algeria,,Algiers,8,10,1995,-99.0,1995-08-10
Africa,Algeria,,Algiers,8,11,1995,85.7,1995-08-11
Africa,Algeria,,Algiers,8,12,1995,82.1,1995-08-12
Africa,Algeria,,Algiers,8,13,1995,79.5,1995-08-13
Africa,Algeria,,Algiers,8,14,1995,81.0,1995-08-14
Africa,Algeria,,Algiers,8,15,1995,78.9,1995-08-15
Africa,Algeria,,Algiers,8,16,1995,77.6,1995-08-16
